KEY	SRR1554537	SRR1554538	SRR1554568	SRR1554535	SRR1554536	SRR1554539
644249	20	8	5	1	4	7
64425	3819	4150	3149	995	212	671
64426	6437	7396	5473	3770	671	3307
64427	3609	3620	3361	909	321	543
644277	7	2	0	3	0	0
64428	3325	3059	2280	2819	960	2210
644285	2016	1353	1839	526	152	423
64429	3719	4447	3468	2270	481	1874
6443	13507	16751	14426	7171	2081	5864
64430	9366	12613	10059	2397	894	2141
64431	4344	5565	3736	4869	685	3143
644314	0	2	0	0	0	1
644316	0	0	0	0	0	0
64432	7013	8202	6540	3974	978	3812
64433	0	0	0	3	1	2
64434	3278	3927	3408	1100	282	1096
644353	2517	3652	2769	468	119	382
6444	695	553	455	703	457	1030
644414	0	0	0	0	0	0
644444	0	6	1	0	0	0
64446	3	12	15	2	2	2
6445	180	341	110	129	7	210
644511	6	19	3	0	2	0
644524	0	0	0	4	0	0
644538	34	83	64	245	370	248
644554	695	773	549	41	45	86
644591	0	0	0	0	0	0
644596	355	400	240	4919	690	4985
6446	5131	3178	2742	4394	1038	2483
644619	77	110	54	15	1	19
644634	0	0	0	0	0	0
644649	255	377	259	451	74	323
644656	232	265	228	194	95	79
644660	5	20	7	33	5	7
644669	5	10	0	18	2	0
644672	0	0	0	0	0	0
644694	8	0	0	0	4	2
6447	8	7	5	0	0	3
644714	78	42	35	15	5	14
644717	0	0	0	0	0	1
644759	0	6	2	1	0	0
644762	881	1267	794	862	219	693
644767	0	0	0	0	0	0
64478	6459	10913	1735	3122	443	6154
644794	141	267	287	289	81	118
6448	513	1315	1408	871	314	459
644809	7	5	3	12	10	16
644815	16	9	20	15	6	14
644838	10	6	7	4	0	10
644844	0	2	0	0	0	0
644861	0	0	0	0	0	0
644873	456	539	381	740	301	696
644890	26	23	20	31	26	29
6449	12035	11892	8702	9140	2592	5888
644919	1	4	3	0	2	0
64493	0	0	0	0	0	0
644936	0	5	0	0	0	0
644943	163	148	76	33	38	17
644945	0	0	0	0	0	0
644961	4161	4166	3644	1246	202	724
644962	296	297	221	32	11	55
644974	7	4	3	2	0	0
64499	5	3	5	2	2	3
644990	0	2	0	34	6	25
644994	0	2	1	0	0	0
644997	4	0	1	7	0	0
645	551	808	436	1270	663	803
6450	575	441	317	1495	483	889
645027	1	3	2	3	7	0
645030	2	13	7	1	0	0
645037	0	0	0	0	0	0
64506	3	4	2	87	2	95
645073	0	0	0	0	0	0
6451	6146	9963	6254	9264	3834	7028
645104	0	5	17	0	0	3
645121	406	584	312	325	53	417
645142	0	0	0	0	0	0
645158	174	135	144	40	23	60
645166	0	0	0	0	0	0
645177	4	8	6	1	0	0
64518	63	136	157	41	14	48
645188	0	1	0	0	0	0
645191	76	236	33	529	107	406
6452	21723	20780	21416	2191	1857	1014
645202	0	0	0	0	0	0
645206	81	112	63	174	101	83
645212	1120	1343	813	1065	230	810
645249	0	0	0	0	0	0
6453	19843	19224	19155	2992	2112	4409
645323	57155	47551	54280	3509	2430	2817
645332	137	91	134	151	47	69
645339	0	0	0	4	0	0
645354	0	0	0	0	0	0
645355	1	0	0	1	0	200
645359	0	0	0	0	0	0
645367	7	17	5	6	1	7
645369	1588	5036	1353	877	241	1073
645382	0	0	0	0	0	0
645402	0	0	0	0	0	0
645414	0	0	0	0	0	0
645425	0	0	0	1	0	1
645426	92	150	82	82	17	85
645431	57	42	40	47	16	39
645432	7	8	9	8	4	4
645434	9	49	32	66	26	17
645455	0	2	1	1	0	0
6455	9160	8869	6053	4236	1252	3489
645513	536	541	511	267	47	346
645520	0	0	0	0	0	0
645528	0	0	0	11	0	0
645553	37	37	11	10	0	13
645591	0	4	1	0	1	0
6456	10270	12045	13541	24519	671	24417
645638	7	34	18	4	13	2
645644	1337	1427	864	324	80	712
645676	314	337	361	115	23	95
645682	12	12	8	4	0	2
645683	1	0	0	2	0	0
645687	3	2	0	3	0	0
6457	6843	8169	1903	6792	721	4890
645700	44	35	24	65	10	154
645745	1	1	1	3	57	4
645752	4	22	2	6	4	1
64577	408	377	462	248	58	295
645784	278	191	246	154	20	172
64579	20	96	529	9	2	44
6458	723	942	725	59	14	134
64581	29	30	41	144	5	45
645811	520	605	463	208	103	142
64582	1183	2506	1546	373	106	513
645832	9	5	2	1	0	5
645836	0	10	0	0	0	0
645840	8	33	33	4	0	7
645843	0	14	2	2	0	0
645864	6	7	2	2	4	6
645884	0	1	0	0	0	2
